book_name,book_author,book_author_link,book_name_link,edit_status,book_category,book_tags,book_total_words,book_count_recommends,book_total_clicks,book_summary,book_catalogue_link
仙囚,士子游,http://home.zongheng.com/show/userInfo/53684212.html,http://book.zongheng.com/book/1194481.html,连载中,武侠仙侠,"文青,江湖,少年热血,仙侠",456000,34640000,65000,大楚英魂五十万，何人为其沉冤?天道失道，有贤能者必取而代之!此间少年虽命途多舛，却也咬紧牙关要向这世间寻个公道!长剑在手，试问天上仙人谁敢与我一战?,http://book.zongheng.com/showchapter/1194481.html
这个世界很危险,叶知风,http://home.zongheng.com/show/userInfo/13873175.html,http://book.zongheng.com/book/912289.html,连载中,武侠仙侠,"热血,法宝,爽文",2412000,19000,2435000,诡者，谲也！怪者，异也！这个世界，有诡怪千变万化，捉星拿月；有武者肩挑山河，拳镇九幽；有练气士餐风饮露，剑撼云霄；有书生口吐雷霆，呼风唤雨；有皇帝脚踏寰宇，气吞万里如虎。叶青手握长刀，一头闯进了这个波澜壮阔的危险世界！……【粉丝群：760799230】【欢迎灌水聊天，讨论剧情】,http://book.zongheng.com/showchapter/912289.html
持剑,浮世新客,http://home.zongheng.com/show/userInfo/49078702.html,http://book.zongheng.com/book/1175867.html,连载中,武侠仙侠,"武侠,江湖,热血,古风",725000,7690000,69000,"红泥巷里的白泥剑,梅雾城里的小少年。少年有一剑，一剑撼江湖。",http://book.zongheng.com/showchapter/1175867.html
重生我的老婆是天后,吃个桃桃的少年,http://home.zongheng.com/show/userInfo/53741174.html,http://book.zongheng.com/book/1201919.html,连载中,都市娱乐,"重生,生活",438000,3200000,53000,前世的他被资本打压的郁郁寡欢，整日喝酒度日，与妻子离婚之后，妻子因为劳累过度出车祸而死，女儿更是得了癌症。无比悔恨的郭骁在坟前向妻女道歉，郁郁而终，重生穿越到平行世界和老婆离婚的节点，却没有了前世的各种文娱作品，于是他开始努力，誓要守护这对母女，任何人都别想伤害她们。妻子想要重回娱乐圈，那就让老婆重新登顶天后之位，要当就当最强天后。为女儿建造最庞大的童话古堡，那里将是全世界儿童最向往的乐园。站在娱乐圈的巅峰之后，郭骁蓦然回首，这才是他想要的幸福。,http://book.zongheng.com/showchapter/1201919.html
仗剑而行,自在我心,http://home.zongheng.com/show/userInfo/50226928.html,http://book.zongheng.com/book/901194.html,连载中,武侠仙侠,"穿越,文娱,武侠,古风",1419000,17030000,24000,武应有魂，文亦有心，历尽沧桑可解真经，阅尽万事方得通明；剑出则无悔，收剑亦无声，破碎长空，始游星海！,http://book.zongheng.com/showchapter/901194.html
大明海盗之崛起微末,大饼卷鸭蛋,http://home.zongheng.com/show/userInfo/52193994.html,http://book.zongheng.com/book/1219320.html,连载中,历史军事,"穿越,热血,争霸",58000,240000,1710000,大明洪武二十七年，南海海面上，一艘驶往南洋渤泥王国的海船最底层舱底，一个现代混混突然醒来，发现自己竟成了未来南洋海盗之王陈祖义！凭着他的无耻加不要脸，成功救下满船的乡亲，并加入海盗，从此开启了他血腥与辉煌的一生！,http://book.zongheng.com/showchapter/1219320.html
固汉,西北忘川,http://home.zongheng.com/show/userInfo/50264937.html,http://book.zongheng.com/book/1206137.html,连载中,历史军事,"穿越,历史,崛起",341000,5260000,59750000,史书记载，章和二年二月三十日，章德前殿，章帝崩，年仅三十三；这一天，洛阳皇城南宫内，刀光斧影。章帝问：“你为什么如此渴望权力？”萧尘：“活着！”又问：“你衣食无忧，不是活的好好的么？”萧尘：“不是我活着，是为了让陛下活着！”,http://book.zongheng.com/showchapter/1206137.html
武夫,平生未知寒,http://home.zongheng.com/show/userInfo/19335221.html,http://book.zongheng.com/book/1203325.html,连载中,武侠仙侠,"古典仙侠,文青,热血",478000,53510000,736000,人间万里，妖邪遍地。人命如草芥，众生似猪狗。…………“这个世道该变一变了。”那个少年站在渭水畔，开口笑道：“人间有妖，我有刀。“,http://book.zongheng.com/showchapter/1203325.html
都市极品公子,墓月彩云,http://home.zongheng.com/show/userInfo/27454674.html,http://book.zongheng.com/book/1211739.html,连载中,都市娱乐,"都市,最强功法,被陷害,都市修仙",164000,1020000,61260000,钟恺乐从父亲的遗物中得到了一本古书《紫府吸能诀》。修炼以后，竟然可以吞噬其他修炼者的元气。从此，钟恺乐开始走上了世界的颠峰，而那本书更是关系到钟恺乐父亲的死亡之谜......某位世界大佬说：“那个男人是所有人仰望的目标。”某位世界上最漂亮的小姐姐说：“我要给他生猴子。”世界首富说：“我拥有的财产在那个男人面前就像是乞丐一般。”,http://book.zongheng.com/showchapter/1211739.html
我只想好好地活着,小花同学犯了困,http://home.zongheng.com/show/userInfo/53975719.html,http://book.zongheng.com/book/1221922.html,连载中,奇幻玄幻,"玄幻,奇幻,无女主",68350000,0,0,我是谁？我的过去到底是什么样的？我的未来又该何去何从？......渴望生，不是惧怕死。这是一个少年为了寻找过去而努力活下去的故事。,http://book.zongheng.com/showchapter/1221922.html
